yr,mo,de,hhmm,bz
2014,9,10,0,3.6
2014,9,10,1,4
2014,9,10,2,4.2
2014,9,10,3,3.9
2014,9,10,4,3.9
2014,9,10,5,3.8
2014,9,10,6,3.6
2014,9,10,7,3.6
2014,9,10,8,3.8
2014,9,10,9,4.3
2014,9,10,10,4.1
2014,9,10,11,4.1
2014,9,10,12,4.2
2014,9,10,13,4.1
2014,9,10,14,4.2
2014,9,10,15,4.3
2014,9,10,16,4.4
2014,9,10,17,4.3
2014,9,10,18,4.4
2014,9,10,19,4.1
2014,9,10,20,4
2014,9,10,21,3.9
2014,9,10,22,3.9
2014,9,10,23,3.6
2014,9,10,24,3.5
2014,9,10,25,3.2
2014,9,10,26,3
2014,9,10,27,3
2014,9,10,28,3.2
2014,9,10,29,3.5
2014,9,10,30,3.6
2014,9,10,31,3.6
2014,9,10,32,3.7
2014,9,10,33,3.8
2014,9,10,34,4
2014,9,10,35,3
2014,9,10,36,3.1
2014,9,10,37,3.5
2014,9,10,38,3.8
2014,9,10,39,3.7
2014,9,10,40,3.4
2014,9,10,41,3.6
2014,9,10,42,4.1
2014,9,10,43,4.4
2014,9,10,44,4.2
2014,9,10,45,4.2
2014,9,10,46,3.8
2014,9,10,47,4
2014,9,10,48,3.8
2014,9,10,49,3.9
2014,9,10,50,4
2014,9,10,51,3.5
2014,9,10,52,3.6
2014,9,10,53,4.3
2014,9,10,54,3.8
2014,9,10,55,4.1
2014,9,10,56,3.9
2014,9,10,57,3.6
2014,9,10,58,3.9
2014,9,10,59,3.4
2014,9,10,100,2.3
2014,9,10,101,2.4
2014,9,10,102,3
2014,9,10,103,2.7
2014,9,10,104,3.7
2014,9,10,105,4.5
2014,9,10,106,4
2014,9,10,107,4
2014,9,10,108,2.8
2014,9,10,109,3
2014,9,10,110,1.9
2014,9,10,111,3.8
2014,9,10,112,3.9
2014,9,10,113,3.8
2014,9,10,114,2.8
2014,9,10,115,2.1
2014,9,10,116,1.8
2014,9,10,117,2.2
2014,9,10,118,2
2014,9,10,119,2.9
2014,9,10,120,1.2
2014,9,10,121,2.7
2014,9,10,122,4.4
2014,9,10,123,4.1
2014,9,10,124,4.3
2014,9,10,125,4.5
2014,9,10,126,3.6
2014,9,10,127,2.8
2014,9,10,128,3.1
2014,9,10,129,3.2
2014,9,10,130,3.9
2014,9,10,131,3.3
2014,9,10,132,3.4
2014,9,10,133,4.1
2014,9,10,134,3.9
2014,9,10,135,4.1
2014,9,10,136,4.1
2014,9,10,137,4.6
2014,9,10,138,3.4
2014,9,10,139,3.9
2014,9,10,140,4
2014,9,10,141,3
2014,9,10,142,4.2
2014,9,10,143,4.1
2014,9,10,144,4
2014,9,10,145,5
2014,9,10,146,4.5
2014,9,10,147,4.6
2014,9,10,148,4.3
2014,9,10,149,4.2
2014,9,10,150,4.3
2014,9,10,151,4.3
2014,9,10,152,4.5
2014,9,10,153,4.4
2014,9,10,154,4.6
2014,9,10,155,4.1
2014,9,10,156,4.4
2014,9,10,157,4.9
2014,9,10,158,5.2
2014,9,10,159,4.7
2014,9,10,200,4.8
2014,9,10,201,4.7
2014,9,10,202,4.6
2014,9,10,203,4.3
2014,9,10,204,3.6
2014,9,10,205,3.6
2014,9,10,206,4.1
2014,9,10,207,4.3
2014,9,10,208,4.1
2014,9,10,209,4.2
2014,9,10,210,4.2
2014,9,10,211,4.4
2014,9,10,212,2.9
2014,9,10,213,2.3
2014,9,10,214,2.7
2014,9,10,215,2.9
2014,9,10,216,3.6
2014,9,10,217,2.5
2014,9,10,218,3
2014,9,10,219,4.3
2014,9,10,220,4.5
2014,9,10,221,4.5
2014,9,10,222,4.3
2014,9,10,223,4.9
2014,9,10,224,4.4
2014,9,10,225,4
2014,9,10,226,3.1
2014,9,10,227,2.8
